# cycle	pc	r0	r1	r2	r3	r4	r5	r6	r7	pin_out	pin_oe
473	7	85	7	0	0	0	0	0	0	1	1
474	7	85	7	0	0	0	0	0	0	1	1
475	7	85	7	0	0	0	0	0	0	1	1
476	7	85	7	0	0	0	0	0	0	1	1
477	7	85	7	0	0	0	0	0	0	1	1
478	7	85	7	0	0	0	0	0	0	1	1
479	7	85	7	0	0	0	0	0	0	1	1
480	7	85	7	0	0	0	0	0	0	1	1
481	7	85	7	0	0	0	0	0	0	1	1
482	7	85	7	0	0	0	0	0	0	1	1
483	7	85	7	0	0	0	0	0	0	1	1
484	7	85	7	0	0	0	0	0	0	1	1
485	7	85	7	0	0	0	0	0	0	1	1
486	7	85	7	0	0	0	0	0	0	1	1
487	7	85	7	0	0	0	0	0	0	1	1
488	7	85	7	0	0	0	0	0	0	1	1
489	7	85	7	0	0	0	0	0	0	1	1
490	7	85	7	0	0	0	0	0	0	1	1
491	7	85	7	0	0	0	0	0	0	1	1
492	7	85	7	0	0	0	0	0	0	1	1
493	7	85	7	0	0	0	0	0	0	1	1
494	7	85	7	0	0	0	0	0	0	1	1
495	7	85	7	0	0	0	0	0	0	1	1
496	7	85	7	0	0	0	0	0	0	1	1
497	7	85	7	0	0	0	0	0	0	1	1
498	7	85	7	0	0	0	0	0	0	1	1
499	7	85	7	0	0	0	0	0	0	1	1
500	7	85	7	0	0	0	0	0	0	1	1
501	7	85	7	0	0	0	0	0	0	1	1
502	7	85	7	0	0	0	0	0	0	1	1
503	7	85	7	0	0	0	0	0	0	1	1
504	7	85	7	0	0	0	0	0	0	1	1
505	7	85	7	0	0	0	0	0	0	1	1
506	7	85	7	0	0	0	0	0	0	1	1
507	7	85	7	0	0	0	0	0	0	1	1
508	7	85	7	0	0	0	0	0	0	1	1
509	7	85	7	0	0	0	0	0	0	1	1
510	7	85	7	0	0	0	0	0	0	1	1
511	7	85	7	0	0	0	0	0	0	1	1
512	7	85	7	0	0	0	0	0	0	1	1
513	7	85	7	0	0	0	0	0	0	1	1
514	7	85	7	0	0	0	0	0	0	1	1
515	7	85	7	0	0	0	0	0	0	1	1
516	7	85	7	0	0	0	0	0	0	1	1
517	7	85	7	0	0	0	0	0	0	1	1
518	7	85	7	0	0	0	0	0	0	1	1
519	7	85	7	0	0	0	0	0	0	1	1
520	7	85	7	0	0	0	0	0	0	1	1
521	7	85	7	0	0	0	0	0	0	1	1
522	7	85	7	0	0	0	0	0	0	1	1
523	7	85	7	0	0	0	0	0	0	1	1
524	7	85	7	0	0	0	0	0	0	1	1
525	7	85	7	0	0	0	0	0	0	1	1
526	7	85	7	0	0	0	0	0	0	1	1
527	7	85	7	0	0	0	0	0	0	1	1
528	7	85	7	0	0	0	0	0	0	1	1
529	7	85	7	0	0	0	0	0	0	1	1
